raw_location,location_id,location_name
ORPHANAGE,18,ORPHANAGE
ORPHANAGE OFFICE,18,ORPHANAGE
ROADHOUSE,19,ROADHOUSE
THE ROADHOUSE,19,ROADHOUSE
ROADSIDE BAR,19,ROADHOUSE
ROADHOUSE/STAGE,19,ROADHOUSE
BOOKHOUSE,20,BOOKHOUSE
THE BOOKHOUSE,20,BOOKHOUSE
BOOKHOUSE ENTRANCE,20,BOOKHOUSE
"KITCHEN, DEAD DOG FARM HOUSE",21,DEAD DOG FARM
DEAD DOG FARM,21,DEAD DOG FARM
DEAD DOG FARM BLUFF,21,DEAD DOG FARM
WOODS,22,WOODS
PARK,22,WOODS
WOODS/INT. CAR,22,WOODS
WOODS CLEARING,22,WOODS
WOODS SECOND CABIN,22,WOODS
ROAD IN THE WOODS,22,WOODS
EXT. WOODS,22,WOODS
MONTAGE/ WOODS,22,WOODS
TREMOND APARTMENT,23,TREMOND HOUSE
TWIN PEAKS BANK,24,BANK
TWIN PEAKS SAVINGS AND LOAN,24,BANK
TWIN PEAKS MORGUE,25,MORGUE
TWIN PEAKS CITY LIBRARY,26,LIBRARY
CAR,27,CAR IN TRANSIT
POLICE VAN,27,CAR IN TRANSIT
LELAND'S CAR,27,CAR IN TRANSIT
TRUCK IN MOTION,27,CAR IN TRANSIT
MARTELL'S PICKUP,27,CAR IN TRANSIT
HARRY TRUMAN'S LOG CABIN HOUSE,28,TRUMAN HOUSE
HARRY TRUMAN'S,28,TRUMAN HOUSE
TRUMAN'S CABIN,28,TRUMAN HOUSE
BLACK LAKE,29,BLACK LAKE
BLACK LAKE CEMETARY,29,BLACK LAKE
BLACK LAKE AIRPORT,29,BLACK LAKE
"THE WOODS, GLASTONBURY GROVE",30,GLASTONBURY GROVE
GLASTONBURY GROVE,30,GLASTONBURY GROVE
HARDWARE STORE,31,HARDWARE STORE
HORNE'S DEPARTMENT STORE,32,HORNE'S DEPARTMENT STORE
HORNE'S DEPARTMENT STORE EMPLOYMENT OFFICE,32,HORNE'S DEPARTMENT STORE
LUCY'S APARTMENT,33,LUCY APARTMENT
OWL CAVE,33,OWL CAVE
PACKARD SAW MILL,34,MILL
BURNED MILL,34,MILL
MILL,34,MILL
WINDOM EARLE'S CABIN,35,EARLE CABIN
EARLE'S CABIN,35,EARLE CABIN
JAMES HURLEY'S HOME,36,JAMES HURLEY HOUSE
RENAULT'S APARTMENT BUILDING,37,JACQUES RENAULT APT
INT. RENAULT'S APARTMENT,37,JACQUES RENAULT APT
INT. RENAULT'S APARTMENT BUILDING,37,JACQUES RENAULT APT
RENAULT'S APARTMENT,37,JACQUES RENAULT APT
JACQUES RENAULT'S APARTMENT,37,JACQUES RENAULT APT
JACQUES RENAULT'S APARTMENT/CORRIDOR,37,JACQUES RENAULT APT
LAKE,38,LAKE
DR. JACOBY'S OFFICE,39,DR JACOBY
DR. JACOBYS OFFICE,39,DR JACOBY
"""INVITATION TO LOVE"" SET #1",40,INVITATION TO LOVE
ROAD,41,STREET
COUNTRY ROAD,41,STREET
STREET,41,STREET
CITY STREET,41,STREET
WALLY'S BAR,42,WALLY'S BAR
WALLY'S,42,WALLY'S BAR
BAR AREA,42,WALLY'S BAR
BAR,42,WALLY'S BAR
TWIN PEAKS TOWN HALL,43,MISC INSIDE
DOUGHNUT SHOP,43,MISC INSIDE
CHURCH,43,MISC INSIDE
CHURCH - CLOSER,43,MISC INSIDE
INSTITUTIONAL CORRIDOR,43,MISC INSIDE
PAROLE BOARD HEARING ROOM,43,MISC INSIDE
THE TWIN PEAKS ECONO SHOPPER,43,MISC INSIDE
THE LYDEKER CLINIC,43,MISC INSIDE
APARTMENT BUILDING,43,MISC INSIDE
SECOND CABIN,43,MISC INSIDE
OFFICE BUILDING,43,MISC INSIDE
BLACK LAKE WATER PROCESSING PLANT,43,MISC INSIDE
CONFERENCE ROOM,43,MISC INSIDE
TRAIN CAR,43,MISC INSIDE
APARTMENT HOUSE,43,MISC INSIDE
RECEPTION AREA,43,MISC INSIDE
BATHROOM,43,MISC INSIDE
RECEPTION,43,MISC INSIDE
INT. HALLWAY,43,MISC INSIDE
DOWNSTAIRS CORRIDOR,43,MISC INSIDE
INT. CORRIDOR,43,MISC INSIDE
OPEN GARAGE,43,MISC INSIDE
CRAWLSPACE,43,MISC INSIDE
GARAGE APARTMENT,43,MISC INSIDE
GARAGE,43,MISC INSIDE
CABIN,43,MISC INSIDE
TRAIN BRIDGE,44,MISC OUTSIDE
ROAD INTO TWIN PEAKS,44,MISC OUTSIDE
ABANDONED TRAIN CAR,44,MISC OUTSIDE
STREET LIGHT,44,MISC OUTSIDE
LAURA'S GRAVESITE,44,MISC OUTSIDE
PHONE BOOTH,44,MISC OUTSIDE
FIRING RANGE,44,MISC OUTSIDE
RIVERBANK,44,MISC OUTSIDE
GAZEBO,44,MISC OUTSIDE
EASTER PARK,44,MISC OUTSIDE
AROUND BACK,44,MISC OUTSIDE
THE HIGH RIDGE,44,MISC OUTSIDE
PARKING LOT,44,MISC OUTSIDE
CAMPSITE,44,MISC OUTSIDE
MOUNTAIN,44,MISC OUTSIDE
STATE PRISON,45,PRISON
THE CEMETERY,46,CEMETERY
LOG LADYS CABIN,47,LOG LADY CABIN
LOG LADY'S CABIN,47,LOG LADY CABIN
