raw_location,location_id,location_name
HAYWARD LIVING ROOM,11,HAYWARD HOUSE
HAYWARD'S DINING ROOM,11,HAYWARD HOUSE
HAYWARD'S HOUSE,11,HAYWARD HOUSE
HAYWARD'S LIVING ROOM.,11,HAYWARD HOUSE
HIGH SCHOOL,12,HIGH SCHOOL
HIGH SCHOOL CORRIDOR,12,HIGH SCHOOL
HIGH SCHOOL GYM,12,HIGH SCHOOL
HOLDING CELL,9,SHERIFF STATION
HORNE CRUISER,5,GREAT NORTHERN
HORNE RESIDENCE WING,5,GREAT NORTHERN
HORNE'S DEPARTMENT STORE,32,HORNE'S DEPARTMENT STORE
HORNE'S DEPARTMENT STORE EMPLOYMENT OFFICE,32,HORNE'S DEPARTMENT STORE
HOSPITAL,15,HOSPITAL
HOSPITAL BASEMENT BOILER ROOM,15,HOSPITAL
HOSPITAL CORRIDOR,15,HOSPITAL
HOSPITAL ROOM,15,HOSPITAL
HOTEL CORRIDOR,5,GREAT NORTHERN
HOTEL LOBBY,5,GREAT NORTHERN
"HOTEL ROOM, GREAT NORTHERN",5,GREAT NORTHERN
HOTEL WIRING CORRIDOR,5,GREAT NORTHERN
HURLEY HOUSE,10,HURLEY HOUSE
HURLEY HOUSE - LIVING ROOM,10,HURLEY HOUSE
INSTITUTIONAL CORRIDOR,43,MISC INSIDE
INT. BLUE PINE KITCHEN,1,BLUE PINE LODGE
INT. CONFERENCE ROOM,5,GREAT NORTHERN
INT. COOPER'S HOTEL ROOM,5,GREAT NORTHERN
INT. CORRIDOR,43,MISC INSIDE
INT. DOUBLE R DINER,3,DOUBLE R
INT. GREAT NORTHERN HALLWAY,5,GREAT NORTHERN
INT. GREAT NORTHERN HOTEL LOBBY,5,GREAT NORTHERN
INT. GREAT NORTHERN HOTEL ROOM,5,GREAT NORTHERN
INT. HALLWAY,43,MISC INSIDE
INT. INTERROGATION,9,SHERIFF STATION
INT. RENAULT'S APARTMENT,37,JACQUES RENAULT APT
INT. RENAULT'S APARTMENT BUILDING,37,JACQUES RENAULT APT
"INT. SHERIFF STATION, LUCY'S AREA",9,SHERIFF STATION
INT. SHERIFF'S STATION,9,SHERIFF STATION
INT. SHERIFF'S STATION HALLWAY,9,SHERIFF STATION
INT. TRUMAN'S OFFICE,9,SHERIFF STATION
INT. TWIN PEAKS HIGH SCHOOL GIRLS' ROOM,12,HIGH SCHOOL
INTENSIVE HOSPITAL ROOM,15,HOSPITAL
INTERROGATION A,9,SHERIFF STATION
INTERROGATION ROOM,9,SHERIFF STATION
INTERROGATION ROOM A,9,SHERIFF STATION
INTERROGATION ROOM B,9,SHERIFF STATION
JACQUES RENAULT'S APARTMENT,37,JACQUES RENAULT APT
JACQUES RENAULT'S APARTMENT/CORRIDOR,37,JACQUES RENAULT APT
JAIL,9,SHERIFF STATION
JAMES HURLEY'S HOME,36,JAMES HURLEY HOUSE
JAMES ROOM - MARSH ESTATE,13,MARSH ESTATE
"JAMES ROOM, MARSH ESTATE",13,MARSH ESTATE
JOHNSON HOUSE,16,JOHNSON HOUSE
JOHNSON HOUSE KITCHEN,16,JOHNSON HOUSE
JOHNSON HOUSE LAUNDRY ROOM,16,JOHNSON HOUSE
JOHNSON HOUSE LIVING ROOM,16,JOHNSON HOUSE
JOHNSON HOUSE/INT. NORMA'S CAR,16,JOHNSON HOUSE
JOHNSON KITCHEN,16,JOHNSON HOUSE
JOHNSON'S HOUSE KITCHEN,16,JOHNSON HOUSE
JOHNSON'S KITCHEN,16,JOHNSON HOUSE
"KITCHEN, DEAD DOG FARM HOUSE",21,DEAD DOG FARM
LAKE,38,LAKE
LAKESHORE BY THE BLUE PINE LODGE,1,BLUE PINE LODGE
LAURA'S GRAVESITE,44,MISC OUTSIDE
LELAND PALMER'S BEDROOM,8,PALMER HOUSE
LELAND'S CAR,27,CAR IN TRANSIT
LEO JOHNSON'S,16,JOHNSON HOUSE
LEO JOHNSON'S HOUSE,16,JOHNSON HOUSE
LEO JOHNSON'S LIVING ROOM,16,JOHNSON HOUSE
LEO JOHNSON'S PORCH,16,JOHNSON HOUSE
LEO'S,16,JOHNSON HOUSE
LEO'S BACK DOOR,16,JOHNSON HOUSE
LOG LADY'S CABIN,47,LOG LADY CABIN
LOG LADYS CABIN,47,LOG LADY CABIN
LUCY'S APARTMENT,33,LUCY APARTMENT
MARSH ESTATE,13,MARSH ESTATE
MARSH GARAGE,13,MARSH ESTATE
MARSH GARAGE APARTMENT,13,MARSH ESTATE
MARSH HOUSE,13,MARSH ESTATE
"MARSH HOUSE, JAMES' ROOM",13,MARSH ESTATE
"MARSH HOUSE, VESTIBULE IN FRONT OF THE STAIRS",13,MARSH ESTATE
MARTELL BEDROOM,1,BLUE PINE LODGE
MARTELL'S PICKUP,27,CAR IN TRANSIT
MILL,34,MILL
MONTAGE/ WOODS,22,WOODS
MOTEL,17,MOTEL
MOTEL ROOM,17,MOTEL
MOTEL ROOM B,17,MOTEL
MOUNTAIN,44,MISC OUTSIDE
OFFICE BUILDING,43,MISC INSIDE
ONE-EYED JACK'S,7,ONE-EYED JACK'S
ONE-EYED JACK'S - BLACKIE'S OFFICE,7,ONE-EYED JACK'S
"ONE-EYED JACK'S ""LET'S GET ACQUAINTED"" ROOM",7,ONE-EYED JACK'S
ONE-EYED JACK'S BEDROOM,7,ONE-EYED JACK'S
ONE-EYED JACK'S CORRIDOR,7,ONE-EYED JACK'S
ONE-EYED JACK'S HALLWAY,7,ONE-EYED JACK'S
ONE-EYED JACK'S OFFICE,7,ONE-EYED JACK'S
ONE-EYED JACKS,7,ONE-EYED JACK'S
